Song,Artist
Paint The Town Red,Doja Cat
Snooze,SZA
Cruel Summer,Taylor Swift
Fast Car,Luke Combs
3D,Jung Kook & Jack Harlow
I Remember Everything,Zach Bryan Featuring Kacey Musgraves
Last Night,Morgan Wallen
Fukumean,Gunna
Vampire,Olivia Rodrigo
Calm Down,Rema & Selena Gomez
Dance The Night,Dua Lipa
Barbie World,Nicki Minaj & Ice Spice With Aqua
Thinkin' Bout Me,Morgan Wallen
Greedy,Tate McRae
Flowers,Miley Cyrus
Religiously,Bailey Zimmerman
Need A Favor,Jelly Roll
Slime You Out,Drake Featuring SZA
Bad Idea Right?,Olivia Rodrigo
Anti-Hero,Taylor Swift
Watermelon Moonshine,Lainey Wilson
All My Life,Lil Durk Featuring J. Cole
Used To Be Young,Miley Cyrus
Kill Bill,SZA
Better Place,*NSYNC
Dial Drunk,Noah Kahan With Post Malone
What Was I Made For?,Billie Eilish
Good Good,"Usher, Summer Walker & 21 Savage"
What It Is (Block Boy),Doechii Featuring Kodak Black
Rich Men North Of Richmond,Oliver Anthony Music
Karma,Taylor Swift Featuring Ice Spice
Creepin',"Metro Boomin, The Weeknd & 21 Savage"
Daylight,David Kushner
Agora Hills,Doja Cat
I Know ?,Travis Scott
Try That In A Small Town,Jason Aldean
Save Me,Jelly Roll With Lainey Wilson
White Horse,Chris Stapleton
Peaches & Eggplants,Young Nudy Featuring 21 Savage
Meltdown,Travis Scott Featuring Drake
Great Gatsby,Rod Wave
Qlona,Karol G & Peso Pluma
Un Preview,Bad Bunny
Lady Gaga,"Peso Pluma, Gabito Ballesteros & Junior H"
Get Him Back!,Olivia Rodrigo
Bongos,Cardi B & Megan Thee Stallion
Hey Driver,Zach Bryan Featuring The War And Treaty
Single Soon,Selena Gomez
My Love Mine All Mine,Mitski
Boyz Don't Cry,Rod Wave
Lil Boo Thang,Paul Russell
Turks & Caicos,Rod Wave Featuring 21 Savage
Sarah's Place,Zach Bryan Featuring Noah Kahan
LaLa,Myke Towers
Mamaw's House,Thomas Rhett Featuring Morgan Wallen
Strangers,Kenya Grace
Seven,Jung Kook Featuring Latto
Lose Control,Teddy Swims
Call Your Friends,Rod Wave
Come See Me,Rod Wave
Everything I Love,Morgan Wallen
SkeeYee,Sexyy Red
Truck Bed,HARDY
Mi Ex Tenia Razon,Karol G
Tourniquet,Zach Bryan
Popular,"The Weeknd, Playboi Carti & Madonna"
Water,Tyla
El Amor de Su Vida,Grupo Frontera & Grupo Firme
Segun Quien,Maluma & Carin Leon
500lbs,Lil Tecca
Deli,Ice Spice
Telekinesis,Travis Scott Featuring SZA & Future
All-American Bitch,Olivia Rodrigo
Oh U Went,Young Thug Featuring Drake
Standing Room Only,Tim McGraw
On My Mama,Victoria Monet
Sabor Fresa,Fuerza Regida
Johnny Dang,"That Mexican OT, Paul Wall & DRODi"
Tulum,Peso Pluma & Grupo Frontera
Stick Season,Noah Kahan
Can't Have Mine,Dylan Scott
Boys Of Faith,Zach Bryan Featuring Bon Iver
Shaq & Kobe,Rick Ross & Meek Mill
Pretty Little Poison,Warren Zeiders
Bipolar,Peso Pluma x Jasiel Nunez x Junior H
The Grudge,Olivia Rodrigo
HG4,Rod Wave
In Your Love,Tyler Childers
Stars Like Confetti,Dustin Lynch
God Gave Me A Girl,Russell Dickerson
Spotless,Zach Bryan Featuring The Lumineers
The Secret Recipe,Lil Yachty & J. Cole
Oklahoma Smoke Show,Zach Bryan
Que Onda,Calle 24 x Chino Pacas x Fuerza Regida
FE!N,Travis Scott Featuring Playboi Carti
Long Journey,Rod Wave
But I Got A Beer In My Hand,Luke Bryan
Rubicon,Peso Pluma
East Side Of Sorrow,Zach Bryan
Where She Goes,Bad Bunny
